Gini Index,Vacant Housing,Percent Unemployed,Median Family Income,Income Quartile,HighIncome
0.4855,1254,9.125423728813558,39768,1,0
0.4062,6718,5.171641966873218,75961,4,1
0.4595,1353,8.121436276776082,47047,1,0
0.414,1305,4.847301136363636,49508,1,0
0.3912,356,4.19921875,51823,2,0
0.4397,939,4.502936697846422,56152,2,0
0.4691,7532,9.514066496163682,42484,1,0
0.4436,1349,8.819133034379671,47679,1,0
0.4862,36821,6.696711419520289,79904,4,1
0.4291,7886,8.206007304166356,51520,2,0
0.4211,4166,10.719225449515905,48450,1,0
0.4841,5442,4.591900571380907,72896,4,1
0.4187,3144,4.982706160767691,67228,4,1
0.4604,2641,11.8829468960359,48615,1,0
0.4213,1226,10.337601862630965,44596,1,0
0.466,1002,4.348450057405281,57841,3,1
0.3993,649,4.647887323943662,62045,3,1
0.4628,1184,11.098916175058307,40346,1,0
0.4249,2200,6.523695260947811,49693,1,0
0.4519,951,8.368794326241135,45750,1,0
0.4313,2194,7.4618320610687014,53915,2,0
0.4699,1670,7.866155566203482,40087,1,0
0.4305,3765,5.888322929033741,63104,3,1
0.4264,783,4.586973788721208,57345,2,0
0.4703,38609,6.6924862704537915,62611,3,1
0.4709,3357,6.771720613287904,47595,1,0
0.418,848,2.708803611738149,45641,1,0
0.4313,8269,7.475690392843251,47550,1,0
0.4395,5140,6.5302558821554095,59436,3,1
0.403,867,4.380288700846193,56185,2,0
0.4034,2502,5.729555772656744,73596,4,1
0.3818,770,4.962420504914242,67245,4,1
0.3929,1439,10.829881883724497,42989,1,0
0.428,2773,11.63895486935867,40411,1,0
0.3925,2695,8.116501912661441,62605,3,1
0.38,1284,5.6857003416300635,50814,2,0
0.4635,2336,5.896647845043242,52360,2,0
0.4113,1174,5.572441742654509,54151,2,0
0.393,6881,4.166096883561483,88629,4,1
0.4618,3194,5.872128174123337,61241,3,1
0.4064,710,5.785391079508726,54519,2,0
0.4171,1374,5.632992327365729,52014,2,0
0.4259,469,3.8531443111595785,58211,3,1
0.4161,1210,5.58369042981431,55128,2,0
0.4373,5914,9.83941605839416,40657,1,0
0.4757,745,9.530900967982129,49199,1,0
0.4189,825,8.239910313901346,45065,1,0
0.4183,1445,3.7497746529655673,47072,1,0
0.4583,1851,6.754146784821631,41902,1,0
0.4123,1869,7.265072805221892,61247,3,1
0.4259,2033,8.43329027495848,46340,1,0
0.4092,934,9.184184184184184,52863,2,0
0.4751,2949,6.161230287001665,56625,2,0
0.4217,2529,4.574067093856012,87917,4,1
0.4238,4553,7.2822448543551035,50945,2,0
0.5186,35422,10.62937398140159,46878,1,0
0.4175,452,4.401032895475469,67574,4,1
0.4626,3045,9.613557174532785,44911,1,0
0.4795,907,8.55909853752098,55861,2,0
0.4148,14507,5.759907640091492,79014,4,1
0.4314,1198,4.5609864804635265,61418,3,1
0.5341,637,6.612641815235008,43048,1,0
0.4357,3670,6.599801882119862,67132,4,1
0.434,3337,7.56979576541128,64207,3,1
0.4265,2713,6.701652792858005,56910,2,0
0.4018,1972,6.478180083362628,71202,4,1
0.4929,3684,11.82214289464014,44329,1,0
0.4751,1116,7.385720939516934,65231,3,1
0.4179,1761,5.526959207309226,58404,3,1
0.4293,1317,8.6812732534105,57795,3,1
0.4464,1413,10.838095238095239,50828,2,0
0.4324,8247,8.294556384281421,59079,3,1
0.3967,2588,5.054950014668382,79362,4,1
0.4897,4042,7.174604844436263,51637,2,0
0.3881,3459,6.065527688415529,95905,4,1
0.5147,1372,10.001678133915085,46713,1,0
0.4766,3665,3.8308740068104425,60787,3,1
0.4243,5007,6.6533824175081895,51819,2,0
0.4431,214,6.142668428005284,42580,1,0
0.4689,408,5.300788954635109,168667,4,1
0.4801,3309,13.668154266302537,39705,1,0
0.4069,148,3.22071360909378,99519,4,1
0.4017,325,5.535417610632835,121554,4,1
0.3912,902,5.132418325923062,56379,2,0
0.464,4790,7.384572959344469,50223,2,0
0.4268,3156,7.27663210401127,76246,4,1
0.4854,9264,9.675144977350044,53219,2,0
0.407,7624,6.433372215741821,86074,4,1
0.4224,17714,4.665275486664014,132190,4,1
0.4459,5648,8.114298178645436,50099,2,0
0.4564,5375,6.661409287006541,68068,4,1
0.4343,3844,6.532338862295448,72482,4,1
0.4259,8520,7.242352308863707,73448,4,1
0.4335,550,8.292636215646846,58414,3,1
0.4125,580,6.06894900646397,53020,2,0
0.3574,258,4.411764705882353,59000,3,1
0.4323,10163,10.78742657564693,60661,3,1
0.4361,5950,7.241446173914576,66865,4,1
0.4161,3729,8.910000562145145,54040,2,0
0.4518,15786,7.233938099400976,64720,3,1
0.4066,1500,4.1208791208791204,59914,3,1
0.4531,8987,6.838727678571428,62428,3,1
0.4539,4408,7.219819111285883,65196,3,1
0.4267,10967,6.992346938775511,77893,4,1
0.4682,50660,5.518633521833274,100658,4,1
0.4241,6739,7.737321196358908,50726,2,0
0.4472,2609,9.106419279164001,51597,2,0
0.4954,6105,5.06470881035341,72383,4,1
0.4557,1103,7.65661252900232,65824,3,1
0.4966,2701,8.945327161266107,67346,4,1
0.4459,6197,8.346210531016926,51645,2,0
0.4291,4441,9.283716088738533,59683,3,1
0.4357,3848,9.661424202708606,59350,3,1
0.4479,1369,9.816849816849818,50352,2,0
0.4209,4687,9.684249286569088,56359,2,0
0.3851,1930,5.064683391818992,59163,3,1
0.425,7323,7.712934663514215,72120,4,1
0.4527,240,7.035445757250268,50859,2,0
0.4961,9125,7.794220577942205,56317,2,0
0.4916,36352,9.764153351370668,62009,3,1
0.4508,1357,10.285759393748027,51342,2,0
0.432,2751,6.769966722129784,62977,3,1
0.4868,1383,13.283533614810002,41100,1,0
0.4436,1222,8.045721071773176,64010,3,1
0.4849,1322,9.06158357771261,47835,1,0
0.4048,1514,8.888521518708327,46561,1,0
0.4943,10472,10.05319567686719,53731,2,0
0.4536,868,5.919395465994962,46832,1,0
0.509,5822,6.75371454299865,53465,2,0
0.4817,565,13.892529488859765,22500,1,0
0.4387,3304,8.914100486223662,48717,1,0
0.4585,657,6.192893401015229,55413,2,0
0.4593,767,9.1324200913242,42634,1,0
0.4977,729,5.914870093974572,35000,1,0
0.4549,1697,8.460929250263991,46345,1,0
0.4204,1501,9.152777777777779,43878,1,0
0.4954,1444,7.765399737876802,37967,1,0
0.4022,2727,7.245724572457246,62271,3,1
0.4516,1530,10.05641888547956,41892,1,0
0.4148,7815,6.872962184233781,79824,4,1
0.4618,5332,9.283897255802435,53411,2,0
0.4101,4966,4.845947043691855,103916,4,1
0.4663,2932,5.594272076372315,47925,1,0
0.4878,5902,10.973013406985443,50803,2,0
0.4893,1897,11.177667269439421,46611,1,0
0.4515,4428,8.034561525474228,56536,2,0
0.4894,2135,12.695429945880937,42087,1,0
0.4658,740,12.54180602006689,39886,1,0
0.4485,429,3.202846975088968,52282,2,0
0.4424,1551,8.354403708386009,53173,2,0
0.5009,667,7.088826453425545,37140,1,0
0.4519,4404,10.801149764150944,55020,2,0
0.4858,901,7.880567792462066,36068,1,0
0.5386,2206,13.930885529157667,37730,1,0
0.4249,2548,6.569237237759704,74706,4,1
0.4534,21109,6.7793115099477275,82201,4,1
0.4414,1215,5.848804756704284,56019,2,0
0.4623,1172,8.615537848605578,47484,1,0
0.4623,1175,17.67277856135402,43998,1,0
0.4404,2476,7.733128244568352,45886,1,0
0.499,1898,8.29274384913201,43467,1,0
0.4313,2458,6.3451169466885045,96223,4,1
0.5106,1250,6.218387384706933,41908,1,0
0.417,3324,10.57266958906303,57225,2,0
0.568,2377,6.610195129329904,54440,2,0
0.4664,2909,7.736865964841585,39505,1,0
0.4588,2123,7.470334412081985,69479,4,1
0.4226,14517,12.178854493793928,47256,1,0
0.4464,7374,5.718814911993003,60458,3,1
0.4256,33434,5.099698825398581,89875,4,1
0.4421,17590,6.011208493901261,77899,4,1
0.395,43,0.0,111875,4,1
0.3811,394,6.988636363636363,50000,2,0
0.4153,813,9.029896278218425,46284,1,0
0.4631,8474,4.946236559139785,61911,3,1
0.4134,980,10.783736004714202,51694,2,0
0.5092,1669,14.438267992978348,35556,1,0
0.4226,1155,4.736695458344943,53500,2,0
0.4122,665,4.549509366636931,54643,2,0
0.4211,1607,5.97524541186513,55668,2,0
0.3689,1502,3.0472904987782092,66534,4,1
0.4311,1184,7.945670628183361,39331,1,0
0.4218,3092,6.624968087822312,61957,3,1
0.4459,1826,10.859816728407097,41729,1,0
0.4033,2554,6.328402005135102,62745,3,1
0.4269,541,5.496494005881022,58792,3,1
0.4048,802,3.598580841358338,51419,2,0
0.3974,1395,5.693313594867999,61635,3,1
0.4906,1881,6.52903658945955,58292,3,1
0.4981,567,4.866494401378122,55417,2,0
0.3997,954,3.9723661485319512,50918,2,0
0.4515,628,4.421052631578947,52447,2,0
0.4524,5642,6.01365899609743,52976,2,0
0.4091,687,4.794655138534093,55707,2,0
0.4288,1548,6.026307739369837,42457,1,0
0.3863,1169,4.308483290488431,62716,3,1
0.4207,1495,8.92349356804333,50620,2,0
0.3943,1297,7.954441076513273,64291,3,1
0.4372,1093,5.297311614355714,55271,2,0
0.453,600,3.3963720571208027,50990,2,0
0.459,2945,11.570571354030786,45542,1,0
0.4499,2238,3.9774092766161977,62847,3,1
0.3703,80,0.0,45703,1,0
0.4317,543,14.205483977535513,44362,1,0
0.447,569,0.43997485857950974,64330,3,1
0.407,491,5.47008547008547,65224,3,1
0.4244,112,6.885245901639345,50313,2,0
0.5211,1121,10.789831166310886,41538,1,0
0.4685,289,2.8912633563796355,68000,4,1
0.3972,123,2.535211267605634,48125,1,0
0.4853,1931,7.041531362160315,57549,2,0
0.4071,1027,3.829787234042553,74302,4,1
0.4123,574,6.180167597765363,74753,4,1
0.4409,1482,7.4074074074074066,57688,3,1
0.4049,428,2.7750247770069376,41856,1,0
0.4431,3541,4.069050554870531,60682,3,1
0.47,471,2.62615859938208,75035,4,1
0.4863,254,2.65625,64063,3,1
0.4331,1066,16.82995101469559,49929,1,0
0.4805,4633,8.821943138916712,52807,2,0
0.4072,3881,4.142485491294777,73979,4,1
0.4314,2225,10.973616623861778,50241,2,0
0.4412,263,10.598503740648379,52639,2,0
0.4369,1310,4.780876494023905,66551,4,1
0.4263,1005,8.86591478696742,43906,1,0
0.4824,19236,7.75246925105077,72348,4,1
0.4115,17371,9.857596104183576,70980,4,1
0.4278,1613,4.396299902629017,60424,3,1
0.4262,5633,7.375830276593636,60145,3,1
0.4281,9860,6.7706539388869755,55767,2,0
0.4573,9884,7.07424657931775,60552,3,1
0.395,1123,5.997483573325877,59301,3,1
0.405,1661,5.303287021348695,59667,3,1
0.4194,10613,7.996438891969994,58932,3,1
0.4197,2525,7.032308679837388,63862,3,1
0.398,3075,5.524954721138227,72526,4,1
0.4257,26435,7.8494655421141,73426,4,1
0.4023,1229,6.781348801314446,61103,3,1
0.4579,2032,6.410393308417868,63091,3,1
0.4507,11567,7.7295757979215205,70570,4,1
0.4124,2328,5.971014492753623,48343,1,0
0.4354,3808,7.597938144329897,45762,1,0
0.4127,972,4.1464085863682225,60069,3,1
0.4123,1306,6.49171270718232,49420,1,0
0.4313,2792,6.917086578103528,45176,1,0
0.4341,3919,5.950874581317454,58500,3,1
0.4726,1768,15.785975407111996,42191,1,0
0.4336,1597,6.630178744630733,52635,2,0
0.4222,2523,5.987270056655243,54559,2,0
0.5003,2260,7.688683689814378,49538,1,0
0.4216,2445,8.190184049079754,53011,2,0
0.47,1473,8.45854201446856,51391,2,0
0.4507,1719,10.515989797920346,43512,1,0
0.4222,778,9.082580814029576,53576,2,0
0.4584,4020,7.625458381473853,54546,2,0
0.459,757,10.580431177446103,45265,1,0
0.4332,2043,10.248262164846079,47987,1,0
0.4262,1649,9.130122214234364,43719,1,0
0.448,512,8.369768894440973,52031,2,0
0.5028,6460,6.594967060083339,54482,2,0
0.4152,1939,7.5565549195966195,86256,4,1
0.4557,2740,12.308410487823854,50452,2,0
0.4856,2036,4.327938071780436,46504,1,0
0.4637,3887,7.299405646359585,59222,3,1
0.5099,2581,5.4634283835204585,61214,3,1
0.4217,1037,16.206443129520054,52790,2,0
0.4312,2630,12.222887956860395,55256,2,0
0.452,5117,7.709258135598633,51252,2,0
0.4383,2014,3.136244839210636,69476,4,1
0.4449,1674,7.933837959069246,45667,1,0
0.4722,3200,12.695510867357301,29082,1,0
0.4593,2752,9.50439146800502,48073,1,0
0.4403,2076,5.405176071277047,55278,2,0
0.5014,1193,19.66808914177335,32679,1,0
0.5069,3041,10.067057837384745,37782,1,0
0.4002,3447,6.737600443336104,69811,4,1
0.4778,18359,7.539406583217431,84998,4,1
0.4252,8323,6.6528361941571,56297,2,0
0.4319,1258,6.063381571716431,45586,1,0
0.4297,1284,4.6343450804644535,47838,1,0
0.4521,1163,5.443481160386796,55890,2,0
0.459,1238,3.674540682414698,55727,2,0
0.4233,2379,9.110543883762027,39419,1,0
0.4547,1757,6.407766990291262,48315,1,0
0.4723,666,5.703634669151911,47774,1,0
0.4499,1298,9.9609375,42148,1,0
0.4417,1970,5.0693240901213175,57093,2,0
0.4111,1536,8.46590909090909,49659,1,0
0.4584,1096,5.478180129990715,41241,1,0
0.3796,1464,4.3551276309897,60975,3,1
0.4463,1348,6.7885117493472595,38961,1,0
0.4384,1464,6.9389413796606725,52115,2,0
